AAB	ABELAG AVIATION	ABELAG
BLD	BOURNEMOUTH COMMERCIAL FLIGHT TRAINING CENTRE	BLACKADDER
BLE	EXECUTIVE AIR SERVICES, LLC (MIAMI, FL)	BLUEWATER
BLF	BLUE1 OY, FINLAND	BLUEFIN
BLG	BELGAVIA (SOCIETE DE HANDLING)	BELGAVIA
BLH	BLUE HORIZON TRAVEL CLUB (CINCINNATI, OH)	BLUE HORIZON
BLI	THYSSEN KRUPP AG, DUESSELDORF	BLUELINE
BLJ	BLUELINK JETS AB	BLUEJET
BLK	USAC AIRWAYS 695 LLC	AERO BLACK
BLL	BALTIC AIRLINES	BALTIC AIRLINES
BLM	HELICOPTEROS PERSONALES, S.A.	HELI PER
BLN	BELTON PARK 59 (PTY) T/A BELTON AIR	BELTON
BLO	VC BELOGORIE	BELOGORIE
BLQ	CFS AVIATION CC T/A CORPORATE FLIGHT SERVICES	BLUE SQUARE
BLR	METROPOLITAN AVIATION	BLUERIDGE
BLS	BEARSKIN LAKE AIR SERVICE LIMITED	BEARSKIN
BLT	AIR ET COMPAGNIE	BLUE TIE
BLU	SOLUTIONS AIR CHARTER, LLC (ZIONSVILLE,IN)	BLUEGRASS
BLV	BELL-VIEW AIRLINES LIMITED	BELLVIEW AIRLINES
BLW	WERMLANDSFLYG OPERATIONS AB	BLUESTAR
BLX	TUIFLY NORDIC AB	BLUESCAN
BLY	BLUE RIDGE AERO SERVICES	BLUE AERO
BLZ	AERO BARLOZ, S.A. DE C.V.	AEROLOZ
BMA	BERMUDAIR	GOSLING
BMD	BRITISH MEDICAL CHARTER	BRITISH MEDICAL
BME	BRIGGS MARINE ENVIRONMENTAL SERVICES LTD	BRIGGS
BMG	IMAGE AIR CHARTER LTD	BOOMERANG
BMI	BMIBABY LTD	BABY
BMJ	BEMIDJI AIRLINES (BEMIDJI, MN)	BEMIDJI
BML	BISMILLAH AIRLINES LTD	BISMILLAH
BMM	ATLAS BLUE	ATLAS BLUE
BMN	BOWMAN AVIATION, INC. (FORT WAYNE, IN)	BOWMAN
BMP	BUNDLED AERIAL MAPPING ASSTS, LLC (HUNTSVILLE, AL)	AIR BAMA
BMR	BRITISH MIDLAND REGIONAL LTD	MIDLAND
BMS	BLUE AIR AVIATION S.A.	BLUE MESSANGER
BMT	BAHAMAS HABITAT (CARY,NC)	SYMONETTE
BMW	BMW FLUGDIENST, MUENCHEN-FLUGHAFEN	BMW-FLIGHT
BMX	BANCO DE MEXICO	BANXICO
BNA	BUN AIR CORPORATION (BEDFORD, PA)	BUN AIR
BNB	BEYOND GENERAL AVIATION CO., LTD.	DAZZLE
BNC	SUNDANCE AIR, INCORPORATED (DENVER, CO)	BARNACLE AIR
BND	BOND OFFSHORE HELICOPTERS LTD	BOND
BNE	BENINA AIR	BENINA AIR
BNF	BRISTOL FLIGHT TRAINING CENTRE LTD	BRUNEL
BNG	BN GROUP LIMITED	VECTIS
BNH	GUANGZHOU BAONENG BUSINESS AVIATION CO., LTD.	BAONENG JET
BNI	BARTOLINI AIR REGIONAL	BARTOLINI
BNJ	ASL	JET BELGIUM
BNL	BERNIQ AIRWAYS	MANARA
BNM	MELITAIR	MELITAIR
BNO	BABCOCK SCANDINAVIAN AIRAMBULANCE AS	NORSE
BNR	ROYAL AIR LTD	BENIN ROYAL
BNS	VALLEY NATIONAL CORP. D/B/A BANCSTAR (PHOENIX, AZ)	BANCSTAR
BNT	BENTIU AIR TRANSPORT	BENTIU AIR
BNV	BENANE AVIATION CORPORATION	BENANE
BNW	BRITISH NORTH WEST AIRLINES LTD	BRITISH NORTH
BNX	I.A.A.C.A. (L.A.I.)	AIR BARINAS
BNY	NORFOLK ISLAND AIRLINES	BOUNTY
BNZ	BONZA AVIATION PTY LTD	BONZA
BOA	BONIAIR	KUMANOVO
BOB	BACKBONE A/S	BACKBONE
BOC	AEROBONA, S.A. DE C.V.	AEROBONA
BOD	BOND AIR SERVICES LTD.	UGABOND
BOE	BOEING COMMERCIAL AIRPLANE GROUP (SEATTLE, WA)	BOEING
BOF	BORNFLY APS	BORNFLIGHT
BOG	LIVE OAK BANKING COMPANY	BIRD DOG
BOH	AIR BOHEMIA A.S.	BOHEMIA
BOI	ABOITIZ AIR TRANSPORT CORPORATION	ABAIR
BOL	TRANSPORTES AEREOS BOLIVIANOS (TAB)	BOL
BON	B&H AIRLINES	BH AIRLINES
BOO	BOOKAJET LTD	BOOKAJET
BOR	BOLIDOR S.A.	BOLIDORSA
BOS	OPENSKIES	MISTRAL
BOT	AIR BOTSWANA (PTY.), LTD.	BOTSWANA
BOV	BOLIVIANA DE AVIACION	BOLIVIANA
BOX	AEROLOGIC GMBH, LEIPZIG	GERMAN CARGO
BPA	BLUE PANORAMA AIRLINES SPA	BLUE PANORAMA
BPH	PHOENIX HELICOPTER ACADEMY	BLACK PHOENIX
BPK	BERKHUT ZK	VENERA
BPO	BUNDEPOLIZEI-FLIEGERGRUPPE, ST. AUGUSTIN	PIROL
BPS	BUDAPEST AIRCRAFT SERVICE LTD	BASE
BPT	BONUS AVIATION	BONUS
BQA	AXIS AVIATION SWITZERLAND AG	AVIATION
BQB	AXIS AVIATION AUSTRIA GMBH	ICE
BRA	AVIATSIYA STATE AVIATION EMERGENCY RESCUE AGENCY	BELRESCUE
BRB	BRA-TRANSPORTES AEREOS LTDA.	BRA-TRANSPAEREOS
BRC	BREEZE AVIATION	BRAVI
BRD	BRIDGES AIR CARGO	BRIDGES
BRE	BREEZE LTD	AVIABREEZE
BRF	AIR BRAVO	AIR BRAVO
BRG	BERING AIR, INC. (NOME, AK)	BERING AIR
BRH	STAR AIR CARGO (PTY) LTD	BRIGHTSTAR
BRI	BARRICK	BARRICK
BRJ	BAIRLINE FLUGGESELLSCHAFT MBH & CO.KG	BAIRLINE
BRK	HEAVY AIRLIFT WING	BARTOK
BRL	TOPBRASS AVIATION	BRASS LINE
BRN	ECLIPSE AIRLINES, INC. D/B/A BRANSON AIRLINES, INC. (CHANTILLY, VA)	BRANSON
BRO	2 EXCEL AVIATION LTD	BROADSWORD
BRP	AIRPORT BRATSK, JSC	AEROBRA
BRQ	EL-BURAQ AIR TRANSPORT INC.	BURAQAIR
BRR	MOUNTAIN AIR SERVICE, INC (BIG BEAR CITY, CA)	MOUNTAIN AIR
BRS	BRAZILIAN AIR FORCE	BRAZILIAN AIR FORCE
BRT	BRITISH INTERNATIONAL HELICOPTER SERVICES LIMITED	BRITISH
BRU	BELAVIA	BELARUS AVIA
BRV	BRAVO AIR CONGO	BRAVO AIRCONGO
BRX	BRAATHENS REGIONAL AIRWAYS AB	BRAATHENS
BRY	BURUNDAYAVIA JSC	BURAIR
BRZ	BRAVO AIR LTD	GREMAIR
BSA	AIR BISSAU INTERNATIONAL LDA	BISSAU INTERNATIONAL
BSB	AIR WINGS	ARBAS
BSC	AEROSTAN	BIG SHOT
BSD	BLUE STAR AIRLINES, S.A. DE C.V.	AIRLINES STAR
BSF	BLUE SKY AIRWAYS JOINT STOCK COMPANY	BLUE LIGHT
BSH	BEIJING CAPITAL AIRLINES HELICOPTER GENERAL AVIATION SERVICES CO., LTD	CAPITAL ROTOR
BSJ	SKYBUS JET LTD	SKYBUS JET
BSK	MIAMI AIR INTERNATIONAL, INC. (MIAMI, FL)	BISCAYNE
BSL	AIR BRASIL LINHAS AEREAS LTDA	AIRBRASIL
BST	BEST AIRLINES	BARBIE
BSV	BLUE STAR AVIATION C.A	BLUESTARVEN
BSX	BASSAKA AIR LTD.	BASSAKA
BSY	BIG SKY AIRLINES (BILLINGS, MT)	BIG SKY
BTA	BELCANTO AIRLINES	BELCANTO
BTE	AIR BALTIC EASTERN	BALTIC EAST
BTH	BALTIJAS HELICOPTERS	BALTIJAS HELICOPTERS
BTI	AIR BALTIC CORPORATION JSC	AIRBALTIC
BTK	PT. BATIK AIR INDONESIA	BATIK
BTL	BALTIA AIR LINES, INC. (JAMAICA, NY)	BALTIA
BTM	BLUE TEAM FLIGHT SCHOOL	BLUE TEAM
BTN	BHUTAN AIRLINES	BHUTAN AIR
BTP	KINGCRETE ASSOCIATES	BAHRIA TOWN
BTQ	BOUTIQUE AIR	BOUTIQUE
BTR	BOTIR-AVIA	BOTIR-AVIA
BTS	AEROLINEAS NACIONALES ALBATROS, S.A. DE C.V.	AEROLINEAS ALBATROS
BTU	ROLLS ROYCE LTD. (BRISTOL ENGINE DIVISION)	ROLLS
BTV	METRO BATAVIA. PT.	BATAVIA
BTX	VOLKSWAGEN AIRSERVICE GMBH	BEETLE
BTZ	BRISTOW US, LLC (NEW IBERIA, LA)	BRISTOW GROUP
BUC	EUROPEAN AIR CHARTER	EUROCHARTER
